#            time (s)	            H1 strain            H2 strain
  -1.640686321259E+01	  -7.929198495216E+00	  +6.140503779989E+00
  -1.640661907196E+01	  -7.824445598582E+00	  +5.525520919624E+00
  -1.640637493134E+01	  -8.023824248778E+00	  +5.222631422824E+00
  -1.640613079071E+01	  -8.401248546836E+00	  +5.343908574295E+00
  -1.640588665009E+01	  -8.806362667137E+00	  +5.844568577806E+00
  -1.640564250946E+01	  -9.088399791301E+00	  +6.547871360108E+00
  -1.640539836884E+01	  -9.118581629541E+00	  +7.230597340371E+00
  -1.640515422821E+01	  -8.806336808569E+00	  +7.721411203835E+00
  -1.640491008759E+01	  -8.106938504611E+00	  +7.960717345883E+00
  -1.640466594696E+01	  -7.020688946780E+00	  +7.995779845711E+00
  -1.640442180634E+01	  -5.585847844151E+00	  +7.922730512270E+00
  -1.640417766571E+01	  -3.868504186123E+00	  +7.815462636648E+00
  -1.640393352509E+01	  -1.951933635784E+00	  +7.684837092388E+00
  -1.640368938446E+01	  +7.384999156565E-02	  +7.489354134114E+00
  -1.640344524384E+01	  +2.122933560901E+00	  +7.184780001481E+00
  -1.640320110321E+01	  +4.124784119087E+00	  +6.776176954834E+00
  -1.640295696259E+01	  +6.034153735237E+00	  +6.335759827151E+00
  -1.640271282196E+01	  +7.836269597821E+00	  +5.972769085303E+00
  -1.640246868134E+01	  +9.544142271021E+00	  +5.772246453682E+00
  -1.640222454071E+01	  +1.118700853831E+01	  +5.739778660790E+00
  -1.640198040009E+01	  +1.279243107284E+01	  +5.787287782722E+00
  -1.640173625946E+01	  +1.436782746346E+01	  +5.771798592239E+00
  -1.640149211884E+01	  +1.588831428662E+01	  +5.568155623873E+00
  -1.640124797821E+01	  +1.729585081917E+01	  +5.136347722863E+00
  -1.640100383759E+01	  +1.851064084735E+01	  +4.546628717503E+00
  -1.640075969696E+01	  +1.945155381984E+01	  +3.949180215265E+00
  -1.640051555634E+01	  +2.005956733384E+01	  +3.505479636379E+00
  -1.640027141571E+01	  +2.031745730378E+01	  +3.318410717807E+00
  -1.640002727509E+01	  +2.026008207672E+01	  +3.396719131622E+00
  -1.639978313446E+01	  +1.997233747664E+01	  +3.668216754669E+00
  -1.639953899384E+01	  +1.957539494396E+01	  +4.028195881541E+00
  -1.639929485321E+01	  +1.920484583761E+01	  +4.391564767616E+00
  -1.639905071259E+01	  +1.898592781999E+01	  +4.719052712267E+00
  -1.639880657196E+01	  +1.901112001322E+01	  +5.006604469704E+00
  -1.639856243134E+01	  +1.932446133723E+01	  +5.250484381476E+00
